Date,Open,High,Low,Close,Volume
2023-03-01,145.683,146.08,143.879,144.175,55915417.251815
2023-02-28,145.902,147.916,145.683,146.259,50944626.660507
2023-02-27,146.557,148.006,146.299,146.766,45352451.088075
2023-02-24,145.962,146.042,144.584,145.564,55905958.424582
2023-02-23,148.919,149.166,146.092,148.234,48774943.030655
2023-02-22,147.708,148.78,146.012,147.747,51412586.13796
2023-02-21,149.029,150.118,147.247,147.321,59330309.88088
2023-02-17,151.162,151.806,149.674,151.359,59609376.02417
2023-02-16,152.312,155.109,152.15,152.51,68704186.060765
2023-02-15,151.916,154.286,151.686,154.118,66185840.08124
2023-02-14,150.932,152.57,149.684,152.005,62192996.478466
2023-02-13,149.774,153.056,149.743,152.649,62688302.398038
2023-02-10,148.294,150.158,148.056,149.832,57902644.790929
2023-02-09,152.343,152.891,149.02,149.464,56533909.418659
2023-02-08,152.446,153.139,149.761,150.504,64723150.368575
2023-02-07,149.235,153.783,149.235,153.209,84106228.213884
2023-02-06,151.154,151.673,149.374,150.317,70515347.364621
2023-02-03,146.65,155.914,146.452,153.06,155809120.77703
2023-02-02,147.513,149.772,146.79,149.414,119451998.75695
2023-02-01,142.628,145.244,140.004,144.073,78394086.146226
2023-01-31,141.369,142.995,140.956,142.946,66494030.915113
2023-01-30,143.604,144.193,141.519,141.669,64617359.641549
2023-01-27,141.822,145.858,141.749,144.572,71219444.939713
2023-01-26,141.836,142.906,140.577,142.618,54613944.749912
2023-01-25,139.576,141.102,137.516,140.537,66418214.479763
2023-01-24,138.996,141.827,138.991,141.201,67059987.331326
2023-01-23,136.833,141.979,136.615,139.794,82529296.828857
2023-01-20,134.02,136.734,132.969,136.586,80978156.759762
2023-01-19,132.831,134.98,132.524,134.01,58828560.303889
2023-01-18,135.54,137.319,133.771,133.951,70328096.616968
2023-01-17,133.573,136.011,132.881,134.674,64245245.389882
2023-01-13,130.8,133.662,130.433,133.504,58353439.265133
2023-01-12,132.632,133.008,130.215,132.168,72050998.108719
2023-01-11,130.027,132.265,129.244,132.246,70112234.274854
2023-01-10,129.046,130.04,126.927,129.512,64497120.286436
2023-01-09,129.249,132.168,128.679,128.937,71456624.913277
2023-01-06,124.836,129.076,123.727,128.412,88580078.238775
2023-01-05,125.945,126.579,123.598,123.856,81724190.07985
2023-01-04,125.707,127.457,123.914,125.182,89951777.32936
2023-01-03,129.066,129.68,123.014,123.905,113171974.32769
